question,cluster_name
সংশোধনের আবেদন বাতিল করার প্রক্রিয়া কী,applicationCancelled
মাতাকে মৃত উল্লেখ করতে চাইলে কি কি সনদ দাখিল করতে হয়,deceasedRelativeInfo
নতুন ভোটার এলাকা এর জন্য কিভাবে ওয়েবসাইট দিয়ে এপ্লাই করা যাবে কি,onlineServicesInquiry
আমি অনলাইনে কার্ড সংশোধনের জন্য আবেদন করেছি,onlineApplicationProcess
স্মার্ট কার্ড হারিয়ে গেছে,receiptLostSolutions
বর্তমান ঠিকানা সংশোধনের জন্য কতদিন অপেক্ষা করতে হয়,addressChangeTime
এনআইডি কার্ডে জন্মস্থানের ভুল সংশোধন করতে কি কি ডকুমেন্ট লাগবে,correctionErrors
আগের বা এনআইডি কার্ডের পুরনো সংস্করণে স্বামীর নাম ছিল,nameCorrectionDocuments
কার্ড হারালে রি-ইস্যুর জন্য কি কাগজপত্র জমা দিতে হবে,reissueStatus
অনলাইনে কিভাবে কার্ড এ ঠিকানা সংশোধনের জন্য আবেদন করা যায়,onlineAddressInquiry
পিতাকে মৃত উল্লেখ করতে চাইলে কি কি সনদ দাখিল করতে হয়,deceasedRelativeInfo
এখন নয় চাপলে প্রতিনিধির সাহায্য পাওয়া যাবে।,generalQueries
বিয়ে করে বাংলাদেশে থাকলে কি এনআইডি পাওয়া সম্ভব,overseasRegistration
বিয়ের পর জাতীয় পরিচয়পত্রে স্বামী নাম যোগ করার জন্য কি কি কাগজপত্র লাগবে,nameCorrectionDocuments
আমার ফটো প্রবাসে তুলেছি,photoTakenLongAgo
বর্তমান ও স্থায়ী ঠিকানা কি একই সাথে পরিবর্তনের জন্য আবেদন করা সম্ভব,onlineAddressInquiry
একাউন্ট লক হয়ে গেছে কারেক্ট ইনফো দিলেও লক দেখাচ্ছে,accountLocked
এনআইডি কার্ডে বর্তমান ঠিকানা সংশোধন করতে কী প্রক্রিয়া অনুসরণ করবো,addressUpdateProblems
নিড কার্ডে ঠিকানা বদলের জন্য কি ধরনের কাগজপত্র দরকার,addressUpdateProblems
কোথায় গিয়ে আমার স্মার্ট কার্ড সংগ্রহ করবো,smartCardConversion
আমার প্রবাসী ভোটার নিবন্ধনের আবেদন দূতাবাসে Reject হয়েছে কেন,newVoterRejection
আমি আজকে মাঝেই ভোটার হতে চাচ্ছি কি করব,newVoterProcess
ওয়ান জিরো ফাইভ কল করে আমি আবেদনের স্ট্যাটাস জানতে পেরেছি,generalQueries
আমার পাসপোর্ট নম্বর ন্যাশনাল আইডেন্টিটি কার্ডে যোগ করতে কি কি লাগবে,requiredDocuments
দূতাবাসে আবেদন করার পর স্মার্ট কার্ড সংগ্রহের প্রক্রিয়া কী,smartCardConversion
আমি কী জানতে পারি,applicationFailures
দ্বৈত নাগরিকত্বের বিষয়ে কাদের কাছে যাবো,dualCitizenship
কত টাকা দিয়ে সংশোধন আবেদন করতে পারি,correctionFees
অনলাইন আইডি তৈরির পর কিউআর কোড এসেছে,generalQueries
স্মার্ট কার্ডে স্বামীর নাম না দেখে আমি কি করতে পারি,nameCorrectionDocuments
স্মার্ট কার্ড রেডি হয়ে গেলে কি আমি বার্তা পাবো,smartCardConversion
নতুন স্মার্ট এনআইডি কার্ডে স্বামীর নাম নেই,nameCorrectionDocuments
আমার নাম এর স্পেলিং ভুল হইছে সংশোধনের উপায় কি,nameSpellingCorrection
এনআইডি কার্ড করতে কোন দেশের জন্য আলাদা দ্বৈত নাগরিকত্ব সনদ লাগবে না,dualCitizenship
আমার পিতার জাতীয় পরিচয়পত্রের নম্বর বদল করতে হবে।,nameChangeProcess
আমার কার্ড এ মা-র নাম ভুল আছে কি করা উচিত,nameSpellingCorrection
আমার এননাইডি কার্ড সংশোধন হয়েছে,onlineApplicationProcess
স্বামীর এনআইডি কার্ডের নাম্বার পরিবর্তন করা যাবে কি করে,nameChangeProcess
কার্ডে অন্যের তথ্য দেখাচ্ছে,matchFoundErrors
আমার ডিজিটাল ভোটার কার্ড কি অন্য কোনো ব্যক্তিকে দিয়ে নেয়াইতে পারবে,websiteErrors
আমার শিক্ষাগত যোগ্যতা সঠিক নয়,correctionErrors
সংশোধনের জন্য ফি জমা করে আবেদন না করলে টাকা ফেরত কেমনে পাব,correctionFees
একাউন্ট লক হয়ে গেছে আট ঘণ্টা অপেক্ষা করার পরেও,accountLocked
এনআইডি একাউন্ট আনলক করার জন্য কি করতে হবে,accountLocked
বিবাহিতার নাম সংশোধন করার জন্য কার্ডে কি কি কাগজপত্র প্রস্তাব করবেন,nameCorrectionDocuments
একটি মোবাইল নম্বর দিয়ে কতবার রেজিষ্ট্রেশন করতে পারবো,generalQueries
কার্ডে পেশা বদলানোর প্রক্রিয়া কী,onlineApplicationProcess
অনলাইন এ প্রথমে করতে গেলে পাসওয়ার্ড রং দেখাচ্ছে,passwordErrors
তুই তো গাধা,personalStatusChanges
কার্ডের রেজিষ্ট্রেশনে উপজেলার ঘর ফাঁকা থাকলে কি করা উচিত,upazilaFieldEmpty
অনলাইন রেজিষ্ট্রেশনে রং পাসওয়ার্ড দেখাচ্ছে,passwordErrors
আমি বাংলাদেশের এনআইডি স্মার্ট কার্ড বানাতে চাই।,smartCardConversion
স্থায়ী ঠিকানা বদলাতে কতদিন সময় লাগে,addressChangeTime
সিম রেজিস্ট্রেশন করতে আগের সতেরো ডিজিট আইডি কার্ডের নম্বর দিয়েছিলাম,matchFoundErrors
ভুল করে ভোটার হয়েছে,correctionErrors
অনলাইনে কার্ড এ নাম সংশোধন করার আবেদন পদ্ধতি কী,onlineApplicationProcess
আমি ছবি দিয়েছি তারপরে এসএমএস কতদিনে আসবে,photoTakenNoCard
ফি জমা করতে কোন নম্বর প্রদান করতে হবে,registrationFees
রি-ইস্যু আবেদন করার জন্য কত টাকা দরকার,reissueStatus
আমার বার্থ রিলেটেড নিবন্ধন এবং এসএসসি দলিল এর ভিন্ন তথ্য রয়েছে,differentAddresses
ন্যাশনাল আইডি কার্ডে মা'র নামের ভুল সংশোধন করতে কী সব প্রমাণপত্র দিতে হবে,nameCorrectionDocuments
টিন নম্বর যোগ বা পরিবর্তন করতে কি ডকুমেন্টস লাগবে,requiredDocuments
রক্তের গ্রুপ সংশোধনের জন্য কি কাগজপত্র লাগবে,bloodGroupCorrection
স্মার্ট কার্ড নেওয়ার কি কোনো ফি দিতে হবে,newVoterFees
হালনাগাদে ভোটার হতে পারিনি তো এখন কি করবো ভোটার হতে,newVoterNoSms
পিতার ঠিকানা আর আমার ঠিকানা ভিন্ন,differentAddresses
আমার কাছে ডিজিটাল জন্ম সনদ নাই,unavailableServices
ভোটার স্থানান্তরের আবেদন অনুমোদিত হলেও,faceVerificationCompleted
প্রয়োজনে আবার যোগাযোগ করুন।,generalQueries
নতুন ভোটারের জন্য আবেদন করেছি কিন্তু এখনো পেন্ডিং,pendingApplications
আমার স্মার্ট কার্ড কোথায় পাবো,smartCardConversion
একটি কার্ডে কয়জ স্ত্রীর নাম থাকা যায়,nameCorrectionDocuments
আপনার টিন নম্বর আপডেট বা নতুন করে যোগ করতে কী কাগজপত্র প্রয়োজন,requiredDocuments
নতুন এনআইডি আবেদন করে দিয়েছি কিন্তু এখনো পেন্ডিং,pendingApplications
একাউন্ট লক হওয়ার পর থেকে আনলক করার জন্য দ্রুত কোন ব্যবস্থা নিতে পারব,accountLocked
একাউন্ট লক হয়ে গেছে এখনি কি আনলক করে দিতে পারবেন,accountLocked
ভোটার নিবন্ধন ভুল হলে এখন কি করণীয়,correctionErrors
আমার বায়োমেট্রিক জমা দেওয়া হয়েছে কানাডার দূতাবাসে,faceVerificationCompleted
ভোটার স্লিপ হারালে এবং তালিকায় নাম না পেলে কার্ড তোলার উপায় কী,receiptLostSolutions
আপনি তো কিছু বললেন না,agentTransferRequest
স্মার্ট কার্ড পাবার জন্য কি কোন খরচ,newVoterFees
স্মার্ট কার্ড পাওয়ার জন্য কি অর্থ দিতে হয়,newVoterFees
সংশোধন হয়ে গেলে নতুন কার্ড কোথা থেকে কালেক্ট করব,websiteErrors
আমার স্মার্ট কার্ডের বর্তমান আইডি জানতে চাই।,smartCardConversion
আর কিছু জানার আছে,applicationFailures
নতুন ভোটারের জন্য আবেদনে শনাক্তকারী কার নাম দিতে হবে,newVoterProcess
ভোটার আবেদন বাতিল হলে সমাধান কিভাবে পাওয়া যাবে,applicationCancelled
আমি আমার প্লাস্টিকের নতুন স্মার্ট কার্ড মুদ্রণ সম্পর্কে জানার জন্য কীভাবে এসএমএস পাঠাতে পারি কোন নম্বরে,smartCardPrintStatus
ভোটার ঠিকানা ট্রান্সফার চলছে,faceVerificationCompleted
আমার কার্ডের জন্য বিদেশ থেকে আবেদন করা হয়েছে,overseasRegistration
কার্ডের তথ্য কিভাবে সংশোধন করা যায়,onlineApplicationProcess
যদি রেজিস্ট্রেশনের পর ওটিপি না আসে তাহলে কই যাব,unavailableServices
আমার আবেদন নাকচ করেছে উপজেলা নির্বাচন অফিস,newVoterNoSms
আইডিতে প্রেজেন্ট এবং পার্মানেন্ট ঠিকানা একসাথে আপডেট করা যাবে,addressUpdateProblems
পুরানো কার্ড হারিয়ে নতুন স্মার্ট কার্ড পাওয়ার পদ্ধতি কী,receiptLostSolutions
ছোট বয়সে এনআইডি করা হলে কবে ভোটার হয়ে যাবে,ageEligibility
ঠিকানা বদলের জন্য কি অনলাইনে আবেদন করা যায়,onlineAddressInquiry
এনআইডি কার্ড হারানো বা নষ্ট হলে কি খরচ হয়,receiptLostSolutions
প্রবাসী এনআইডি আবেদন করার পর এডজুডিকেশন পেন্ডিংঅবস্থায় আছে,pendingApplications
ভোটার স্থানান্তরের অনুমোদন পাওয়া গেছে,faceVerificationCompleted
বাবার নামের সাথে এনআইডি নম্বর চেঞ্জ করতে চাই,nameChangeProcess
আমি ভোটার স্থানান্তর করেছি এখন কি রি-ইস্যুর কাজ করবো,faceVerificationCompleted
আজকের মতো এইটুকু,applicationFailures
জামাইর নামের বানানে ভুল আছে কিভাবে ঠিক করব,nameSpellingCorrection
স্ত্রীর নাম সংশোধন করার জন্য কি কি নথি প্রয়োজন,nameCorrectionDocuments
নতুন ভোটার হয়ে গিয়েছি,newVoterDuplicates
সংশোধন আবেদন বাতিল হলে আবার আবেদন করতে কি টাকা দিতে হবে,applicationCancelled
আইডি লক হওয়ার পর কিভাবে সমাধান করব,accountLocked
কার্ডে বর্তমান ঠিকানা পরিবর্তনের জন্য কোন অফিসে যেতে হবে,addressUpdateProblems
