tag,answer
account_locked,ভুল তথ্য দিয়ে রেজিস্ট্রেশন বা লগইনের চেষ্টা করা হলে স্বয়ংক্রিয়ভাবে একাউন্টটি লক হয়ে যায়। অনুগ্রহপূর্বক সঠিক তথ্য দিয়ে আট ঘন্টা পর পুনরায় চেষ্টা করুন।
account_locked_retrials,ভুল তথ্য দিয়ে রেজিস্ট্রেশন বা লগইনের জন্য তিনবারের অধিক চেষ্টা করা হলে স্বয়ংক্রিয়ভাবে একাউন্ট সাময়িক সময়ের জন্য লক করে দেওয়া হয়। অনুগ্রহপূর্বক সঠিক তথ্য দিয়ে আট ঘন্টা পর পুনরায় চেষ্টা করুন।
account_locked_unlock_request,"আমরা আন্তরিকভাবে দুঃখিত, এটি একটি স্বয়ংক্রিয় ব্যবস্থা। তাৎক্ষণিকভাবে আনলক করার সুযোগ নেই। অনুগ্রহপূর্বক আট ঘণ্টা পর সঠিক তথ্য দিয়ে পুনরায় চেষ্টা করুন।"
address_cahgne_but_no_post_office_or_office_code,এক্ষেত্রে সংশ্লিষ্ট উপজেলা/থানা নির্বাচন অফিসে যোগাযোগ করুন।
address_change_card_download_process,ভোটার এলাকা পরিবর্তন হলে জাতীয় পরিচয় পত্র প্রদান করা হয় না। তবে নতুন ঠিকানায় এনআইডি কার্ড পেতে নির্ধারিত ফি প্রদান করে অনলাইনে রি-ইস্যুর আবেদন করতে হবে।
address_change_counselor_chairperson_signature,ভোটার এলাকা স্থানান্তর করতে ইউনিয়ন পর্যায় চেয়ারম্যান/মেম্বার এবং পৌরসভা বা সিটিকর্পোরেশনের ক্ষেত্রে মেয়র/কাউন্সিলরের জাতীয় পরিচয়পত্র নম্বর উল্লেখপূর্বক স্বাক্ষর নিতে হবে।
address_change_online_new,"হ্যাঁ, করা যাবে। তবে ঠিকানা পরিবর্তনের কারণে যদি ভোটার এলাকা পরিবর্তন হয় সেক্ষেত্রে সংশ্লিষ্ট উপজেলা/থানা নির্বাচন অফিসে স্বশরীরে উপস্থিত হয়ে আবেদন করতে হবে।"
address_change_sms_to_mobile_how_many_days_to_get_approved,আপনার এই প্রশ্নের উত্তরটি জানতে ৯ বাটন চেপে কল সেন্টার প্রতিনিধির সঙ্গে সরাসরি কথা বলুন।
age_and_dob_correction,"আপনার শিক্ষাগত যোগ্যতা এসএসসি বা তার উর্দ্ধে হলে এসএসসি সনদ, অন্যান্য ক্ষেত্রে পি.ই.সি অথবা জেএসসি সনদ, অনলাইন জন্ম সনদ দাখিলপূর্বক অনলাইনে আবেদন করুন। তবে উল্লেখ্য যে, বিশেষ ক্ষেত্রে কর্তৃপক্ষ অন্যান্য ডকুমেন্টস চাইতে পারেন।"
agent_calling,আপনার কলটি একজন লাইভ এজেন্ট এর কাছে ট্রান্সফার করা হচ্ছে।
all_documents_correct_but_application_rejected_why,অনুগ্রহপূর্বক আবেদন বাতিলের কারণ জানতে সংশ্লিষ্ট নির্বাচন কর্মকর্তার সাথে যোগাযোগ করুন। বাতিলের যৌক্তিক কারণ না থাকলে সংশ্লিষ্ট নির্বাচন কর্মকর্তার পরামর্শ অনুযায়ী পুনরায় আবেদন করা যেতে পারে।
ask_if_any_other_questions,আপনাকে আর কোন তথ্য দিয়ে সহযোগিতা করতে পারি!
