question,cluster_name
অনলাইন আইডি পোর্টাল লক হয়ে গেছে,accountLocked
অনলাইন এর একাউন্ট টা লক হয়ে গেছে,accountLocked
অনলাইনে একাউন্ট এখনো লক দেখায়,accountLocked
অনলাইনে এখনো লক দেখাচ্ছে,accountLocked
আইড লক হয়েছে কার সাথে যোগাযোগ করতে হবে,accountLocked
আইডি তে মেসেজ দেখাচ্ছে লক হয়ে গেছে এখন সঠিক তথ্য দেওয়ার পরেও লক-ই দেখাচ্ছে কি করবো,accountLocked
আইডি লক হওয়ার পর কিভাবে সমাধান করব,accountLocked
আইডি লক হয়ে গেছে,accountLocked
আট ঘন্টা পর আবার রেজিষ্ট্রেশন করার চেষ্টা করছি কিন্তু একাউন্ট এখনও লক দেখাচ্ছে,accountLocked
আট ঘন্টা পর পুনরায় রেজিষ্ট্রেশন করার চেষ্টা করছি কিন্তু একাউন্ট এখনও লক দেখাচ্ছে,accountLocked
আটঘণ্টা পরেও ওয়েব পোর্টালে আমার আইডি লক ই দেখাচ্ছে,accountLocked
আমার আইডি অটো লক হয়ে গেছে কিভাবে কি করবো,accountLocked
আমার আইডি তে লক দেখাচ্ছে কিভাবে কি করা লাগবে,accountLocked
আমার আইডি লক এর আট ঘন্টা পরে রেজিস্ট্রেশন করতে গেছি কিন্তু এখনও লক দেখাচ্ছে,accountLocked
আমার আইডি লক হয়ে গেল আপনি কি এক্ষনি কিছু করতে পারেন,accountLocked
আমার একাউন্ট লক হয়ে গেছে এখনি কি আনলক করে দিতে পারবেন,accountLocked
আমার এনআইডি অ্যাকাউন্ট খুলতে গিয়ে লক হয়ে গেছে,accountLocked
আমার এনআইডি অ্যাকাউন্ট খোলার সময় লক হয়ে গেছে,accountLocked
আমার এনআইডি অ্যাকাউন্ট লক হয়ে গেছে,accountLocked
আমার এনআইডি একাউন্ট লক হয়ে গেছে,accountLocked
আমার এনআইডি খুলতে গিয়ে লক হয়ে গেছে,accountLocked
আমার এনআইডি খুলতে লক হয়ে গেছে,accountLocked
আমার কার্ড লক হয়ে গেছে,accountLocked
আমার কার্ডটি এই মুহুর্তে লক হয়ে আছে,accountLocked
আমার জাতীয় পরিচয়পত্র লক হয়ে গেছে,accountLocked
আমার জাতীয় পরিচয়পত্রের একাউন্ট লক হয়ে গেছে,accountLocked
আমার প্রোফাইল লক হয়ে গেলে তাতক্ষনিক আনলক করার নিয়ম কী,accountLocked
একবার একাউন্ট লক হওয়ার পর ঠিক তথ্য দিলেও খুলছে না,accountLocked
একবার একাউন্ট লক হওয়ার পর পুনরায় সঠিক তথ্য দিলেও একাউন্ট লক ই দেখাচ্ছে,accountLocked
একবার একাউন্ট লক হওয়ার পর পুনরায় সঠিক তথ্য দিলেও একাউন্ট লক দেখাচ্ছে,accountLocked
একবার লক হলে কি আবার তথ্য দিয়ে একাউন্ট খুলবে না,accountLocked
একবার লক হয়ে একাউন্ট কত ঘন্টা পর খুলে,accountLocked
একাউন্ট একবার লক হবার আট ঘন্টা পরেও লক ই আসতেছে সমাধান কি,accountLocked
একাউন্ট বারবার লক দেখাচ্ছে আমার তথ্য ঠিক আছে কিনা চেক করে দিতে পারবেন,accountLocked
একাউন্ট বারবার লক দেখাচ্ছে তথ্য ঠিক আছে কিনা কিভাবে বুঝবো,accountLocked
একাউন্ট লক করা হয়েছে দেখাচ্ছে,accountLocked
একাউন্ট লক গেছে এখন আনলক করে দিতে পারবেন,accountLocked
একাউন্ট লক হওয়ার কারণ কি হতে পারে,accountLocked
একাউন্ট লক হওয়ার পর আট ঘণ্টা অপেক্ষা করেও সমাধান হচ্ছে না,accountLocked
একাউন্ট লক হওয়ার পর থেকে আনলক করার জন্য দ্রুত কোন ব্যবস্থা নিতে পারব,accountLocked
